Time,Down,Type,Yards,Details,Montreal,Edmonton
15:00,0,Kickoff,23,Sean Whyte kicks off to the Edm14. Jamal Miles return for 23 yards to Edm37. Tackled by Marc-Olivier Brouillette.,0,0
14:53,1,Offside,5,Penalty: Offside on Montreal (Mike Edem) 5 yards.,0,0
14:35,1,Pass,25,Mike Reilly pass to Adarius Bowman for 25 yards to the Mtl43. Tackled by Chip Cox.,0,0
14:07,0,Illegal Substitution,-10,Penalty: Illegal Substitution on Edmonton -10 yards.,0,0
13:33,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Calvin McCarty.,0,0
13:12,2,Pass,12,Mike Reilly pass to Marcus Henry for 12 yards to the Mtl41. Tackled by Michael Carter.,0,0
12:34,3,Missed Field Goal,31,50 yard field goal attempt by Hugh O'Neill is NO GOOD.  Missed field goal returned by Tyron Carrier to the Mtl22. Tackled by Eddie Steele.,0,0
12:11,1,Pass,54,Josh Neiswander pass to Brandon London for 54 yards to the Edm34. Tackled by Chris Thompson.,0,0
11:40,1,Rush,16,Jerome Messam rush for 16 yards to the Edm18. Tackled by Donovan Alexander.,0,0
11:10,1,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Jerod Zaleski.,0,0
10:32,2,Pass,12,Josh Neiswander pass to Arland Bruce for 12 yards to the Edm6. Tackled by T.J. Hill.,0,0
09:26,1,Pass,6,Josh Neiswander pass to S.J. Green for 6 yards for a TOUCHDOWN.,6,0
09:17,0,Made Extra Point,0,Sean Whyte extra point is good.,7,0
09:17,0,Kickoff,19,Sean Whyte kicks off to the Edm10. Jamal Miles return for 19 yards to Edm29. Tackled by Bear Woods.,7,0
09:12,0,Illegal Substitution,-10,Penalty: Illegal Substitution on Edmonton -10 yards.,7,0
09:03,1,Pass,6,Mike Reilly pass to Hugh Charles for 6 yards to the Edm25. Tackled by Geoff Tisdale.,7,0
09:00,2,Pass,24,Mike Reilly pass to Shamawd Chambers for 24 yards to the Edm49. Tackled by Michael Carter.,7,0
07:59,1,Rush,5,Hugh Charles rush for 5 yards to the Edm54. Tackled by Jerald Brown.,7,0
07:25,2,Pass,16,Mike Reilly pass to Adarius Bowman for 16 yards to the Mtl40. Tackled by Billy Parker.,7,0
06:49,1,Pass,6,Mike Reilly pass to Adarius Bowman for 6 yards to the Mtl34. Tackled by Billy Parker.,7,0
06:24,2,Pass,4,Mike Reilly pass to Adarius Bowman for 4 yards to the Mtl30. Tackled by Billy Parker.,7,0
05:34,1,Rush,3,Hugh Charles rush for 3 yards to the Mtl27. Tackled by John Bowman.,7,0
05:00,2,Interception,8,Mike Reilly pass intended for Fred Stamps INTERCEPTED by Jerald Brown and returned for 8 yards. Tackled by Nate Coehoorn.,7,0
04:34,1,Pass,62,Josh Neiswander pass to Arland Bruce for 62 yards to the Edm31. Tackled by Eric Samuels.,7,0
04:13,1,Rush,9,Jerome Messam rush for 9 yards to the Edm22. Tackled by Joe Burnett.,7,0
03:10,2,Pass,22,Josh Neiswander pass to S.J. Green for 22 yards for a TOUCHDOWN.,13,0
03:01,0,Made Extra Point,0,Sean Whyte extra point is good.,14,0
03:01,0,Kickoff,12,Sean Whyte kicks off to the Edm16. Jamal Miles return for 12 yards to Edm28. Tackled by Winston Venable.,14,0
02:56,1,Pass,45,Mike Reilly pass to Adarius Bowman for 45 yards to the Mtl37. Tackled by Ben Wells.,14,0
02:10,1,Pass,5,Mike Reilly pass to Shamawd Chambers for 5 yards to the Mtl32. Tackled by Ben Wells.,14,0
01:30,0,Roughing Passer,15,Penalty: Roughing Passer on Montreal (Mike Edem) 15 yards.,14,0
01:00,1,Rush,0,Hugh Charles rush for no gain to the Mtl17. Tackled by Michael Klassen.,14,0
00:27,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps.,14,0
00:00,3,Missed Field Goal,24,Hugh O'Neill 24 yard field goal attempt is GOOD.,14,3
15:00,1,Rush,13,Josh Neiswander rush for 13 yards to the Mtl48. Tackled by T.J. Hill.,14,3
14:27,1,Illegal Block,18,Josh Neiswander pass to Duron Carter for 28 yards to the Edm34. Tackled by Eric Samuels. Penalty: Illegal Block on Montreal (Arland Bruce) -10 yards.,14,3
13:57,1,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Jerome Messam.,14,3
13:30,2,Rush,14,Josh Neiswander rush for 14 yards to the Edm30. Tackled by Marcell Young.,14,3
12:43,1,Rush,8,Arland Bruce rush for 8 yards to the Edm22. Tackled by Joe Burnett.,14,3
11:54,2,Rush,14,Tyrell Sutton rush for 14 yards to the Edm8. Tackled by T.J. Hill.,14,3
11:11,0,Pass Interference,7,Penalty: Pass Interference on Edmonton (Joe Burnett) 7 yards.,14,3
10:55,1,Offside,0,Penalty: Offside on Edmonton (Eddie Steele) 0 yards.,14,3
10:22,1,Rush,1,Troy Smith rush for 1 yard for a TOUCHDOWN.,20,3
10:06,0,Made Extra Point,0,Sean Whyte extra point is good.,21,3
10:06,0,Kickoff,13,Sean Whyte kicks off to the Edm11. Jamal Miles return for 13 yards to Edm24. Tackled by Mike Edem.,21,3
10:01,1,Pass,11,Mike Reilly pass to Fred Stamps for 11 yards to the Edm35. Tackled by Bear Woods.,21,3
09:26,1,Pass,11,Mike Reilly pass to Marcus Henry for 11 yards to the Edm46. Tackled by Mike Edem.,21,3
08:55,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Nate Coehoorn.,21,3
08:35,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps.,21,3
08:23,3,Punt,4,Grant Shaw punts for 38 yards to Mtl26. Tyron Carrier return for 4 yards to Mtl30. Tackled by Nathan Kanya.,21,3
08:07,1,Pass,1,Josh Neiswander pass to Duron Carter for 1 yard to the Mtl31. Tackled by Joe Burnett.,21,3
07:30,2,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Eric Deslauriers defensed by T.J. Hill.,21,3
07:13,3,Punt,0,Sean Whyte punts for 39 yards to Edm40. No return.,21,3
06:53,1,Pass,7,Mike Reilly pass to Fred Stamps for 7 yards to the Edm47. Tackled by Jerald Brown.,21,3
06:32,2,Rush,1,John White rush for 1 yard to the Edm48. Tackled by Chip Cox.,21,3
05:55,3,Punt,9,Grant Shaw punts for 43 yards to Mtl19. Tyron Carrier return for 9 yards to Mtl28. Tackled by  .,21,3
05:23,1,Fumble,-6,"Josh Neiswander pass INTERCEPTED and returned for a loss of 6 yards., recovered by Mtl (Eric Deslauriers). FUMBLE",21,3
04:52,1,Rush,4,Jerome Messam rush for 4 yards to the Edm29. Tackled by Marcus Howard.,21,3
04:24,2,Incomplete Pass,0,Josh Neiswander incomplete pass intended for S.J. Green defensed by Marcell Young.,21,3
03:44,3,Missed Field Goal,37,Sean Whyte 37 yard field goal attempt is GOOD.,24,3
03:44,1,Rush,6,Hugh Charles rush for 6 yards to the Edm41. Tackled by Michael Klassen.,24,3
03:05,2,Pass,8,Mike Reilly pass to Marcus Henry for 8 yards to the Edm49. Tackled by Geoff Tisdale.,24,3
02:42,1,Rush,-9,Jamal Miles rush for a loss of 9 yards to the Edm40. Tackled by Chip Cox.,24,3
02:09,2,Interception,38,Mike Reilly pass INTERCEPTED by Mike Edem and returned for 38 yards. Tackled by  .,24,3
01:50,1,Pass,6,Josh Neiswander pass to Brandon London for 6 yards to the Edm6. Tackled by T.J. Hill.,24,3
01:22,2,Pass,6,Josh Neiswander pass to Arland Bruce for 6 yards for a TOUCHDOWN.,30,3
01:22,0,Made Extra Point,0,Sean Whyte extra point is good.,31,3
01:22,0,Kickoff,17,Sean Whyte kicks off to the Edm24. Joe Burnett return for 17 yards to Edm41. Tackled by Brandon London.,31,3
01:16,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,31,3
01:11,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Marcus Henry.,31,3
01:07,3,Punt,2,Grant Shaw punts for 46 yards to Mtl23. Tyron Carrier return for 2 yards to Mtl25. Tackled by Nathan Kanya.,31,3
01:00,1,Rush,3,Tyrell Sutton rush for 3 yards to the Mtl28. Tackled by T.J. Hill.,31,3
00:54,2,Pass,4,Josh Neiswander pass to Tyrell Sutton for 4 yards to the Mtl32. Tackled by J.C. Sherritt.,31,3
00:29,3,Punt,53,Sean Whyte punts for 45 yards to Edm33. Jamal Miles return for 53 yards to Mtl24. Tackled by Chip Cox.,31,3
15:00,0,Kickoff,20,Grant Shaw kicks off to the Mtl6. Tyron Carrier return for 20 yards to Mtl26. Tackled by J.C. Sherritt.,31,3
14:53,1,Rush,12,Arland Bruce rush for 12 yards to the Mtl38. Tackled by Marcell Young.,31,3
14:15,1,Incomplete Pass,0,Josh Neiswander incomplete pass intended for S.J. Green.,31,3
13:54,2,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Arland Bruce.,31,3
13:31,3,Punt,18,Sean Whyte punts for 53 yards to Edm19. Jamal Miles return for 18 yards to Edm37. Tackled by Winston Venable.,31,3
13:11,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Adarius Bowman defensed by Geoff Tisdale.,31,3
12:58,2,Pass,13,Jonathan Crompton pass to Hugh Charles for 13 yards to the Edm50. Tackled by Ben Wells.,31,3
12:40,1,Pass,6,Jonathan Crompton pass to Adarius Bowman for 6 yards to the Mtl54. Tackled by Geoff Tisdale.,31,3
12:17,2,Rush,0,Hugh Charles rush for no gain to the Mtl54. Tackled by Moton Hopkins.,31,3
11:55,3,Punt,8,Grant Shaw punts for 37 yards to Mtl17. Tyron Carrier return for 8 yards to Mtl25. Tackled by Mike Miller.,31,3
11:40,1,Pass,2,Josh Neiswander pass to S.J. Green for 2 yards to the Mtl27. Tackled by Eric Samuels.,31,3
11:12,2,Pass,3,Josh Neiswander pass to Duron Carter for 3 yards to the Mtl30. Tackled by Joe Burnett.,31,3
10:25,3,Punt,11,Sean Whyte punts for 49 yards to Edm31. Jamal Miles return for 11 yards to Edm42. Tackled by Bear Woods.,31,3
10:02,1,Pass,14,Jonathan Crompton pass to Calvin McCarty for 14 yards to the Mtl54. Tackled by Mike Edem.,31,3
09:35,1,Pass,11,Jonathan Crompton pass to Marcus Henry for 11 yards to the Mtl43. Tackled by Mike Edem.,31,3
09:17,1,Pass,9,Jonathan Crompton pass to Adarius Bowman for 9 yards to the Mtl34. Tackled by Geoff Tisdale.,31,3
08:50,2,Rush,4,Jonathan Crompton rush for 4 yards to the Mtl30. Tackled by Jerald Brown.,31,3
08:22,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Fred Stamps.,31,3
08:13,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Adarius Bowman defensed by Mike Edem.,31,3
07:55,3,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Fred Stamps.,31,3
07:32,1,Rush,2,Arland Bruce rush for 2 yards to the Mtl32. Tackled by Joe Burnett.,31,3
07:23,2,Pass,18,Josh Neiswander pass to Eric Deslauriers for 18 yards to the Mtl50. Tackled by T.J. Hill.,31,3
07:01,1,Offside,5,Penalty: Offside on Edmonton (Marcus Howard) 5 yards.,31,3
06:31,1,Rush,10,Jerome Messam rush for 10 yards to the Edm45. Tackled by T.J. Hill.,31,3
06:14,1,Rush,7,Jerome Messam rush for 7 yards to the Edm38. Tackled by T.J. Hill.,31,3
05:38,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Montreal (Josh Bourke) -5 yards.,31,3
05:03,2,Incomplete Pass,0,Josh Neiswander incomplete pass intended for S.J. Green.,31,3
04:27,3,Punt Single,0,Sean Whyte punts for 46 yards to Edm0. No return (Single).,32,3
04:27,1,Sack,-3,Sack at Edm32 for a loss of 3 yards by John Bowman.,32,3
04:04,2,Pass,23,Jonathan Crompton pass to Nate Coehoorn for 23 yards to the Edm55. Tackled by Kyries Hebert.,32,3
03:34,1,Interception,0,Jonathan Crompton pass INTERCEPTED by Geoff Tisdale. No return. Tackled by Fred Stamps.,32,3
03:10,0,Roughing Passer,15,Penalty: Roughing Passer on Edmonton (Ted Laurent) 15 yards.,32,3
02:45,1,Rush,5,Jerome Messam rush for 5 yards to the Mtl50. Tackled by Ted Laurent.,32,3
02:10,2,Pass,6,Josh Neiswander pass to Brandon London for 6 yards to the Edm54. Tackled by T.J. Hill.,32,3
01:23,1,Rush,5,Jerome Messam rush for 5 yards to the Edm49. Tackled by T.J. Hill.,32,3
00:50,2,Incomplete Pass,0,Josh Neiswander incomplete pass intended for S.J. Green.,32,3
00:19,3,Holding,46,Sean Whyte punts for 42 yards to Edm7. Penalty: Holding on Edmonton (Joash Gesse) 4 yards.,32,3
00:01,1,Interception,21,Jonathan Crompton pass INTERCEPTED by Jerald Brown and returned for 21 yards. Tackled by Nate Coehoorn.,32,3
15:00,1,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Tyrell Sutton.,32,3
14:25,2,Pass,21,Josh Neiswander pass to Arland Bruce for 21 yards for a TOUCHDOWN.,38,3
14:04,0,Made Extra Point,0,Sean Whyte extra point is good.,39,3
14:04,0,Holding,12,Sean Whyte kicks off to the Edm13. Jamal Miles return for 22 yards to Edm35. Penalty: Holding on Edmonton ( ) -10 yards.,39,3
13:52,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for John White.,39,3
13:40,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Shamawd Chambers defensed by Geoff Tisdale.,39,3
13:32,3,Punt,5,Grant Shaw punts for 42 yards to Mtl43. Tyron Carrier return for 5 yards to Mtl48. Tackled by Mike Cornell.,39,3
13:11,1,Pass,11,Troy Smith pass to Eric Deslauriers for 11 yards to the Edm51. Tackled by Chris Thompson.,39,3
12:50,1,Rush,10,Arland Bruce rush for 10 yards to the Edm41. Tackled by Eric Samuels.,39,3
12:17,2,Rush,2,Troy Smith rush for 2 yards to the Edm39. Tackled by  .,39,3
11:55,1,Incomplete Pass,0,Troy Smith incomplete pass intended for Jerome Messam.,39,3
11:24,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Eric Deslauriers defensed by Chris Thompson.,39,3
10:47,3,Punt Single,0,Sean Whyte punts for 49 yards to Edm0. No return (Single).,40,3
10:47,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Edmonton (Thaddeus Coleman) -5 yards.,40,3
10:33,1,Pass,21,Jonathan Crompton pass to Shamawd Chambers for 21 yards to the Edm51. Tackled by Aaron Lavarias.,40,3
10:15,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Fred Stamps.,40,3
10:08,2,Pass,23,Jonathan Crompton pass to Fred Stamps for 23 yards to the Mtl36. Tackled by Kyries Hebert.,40,3
09:50,1,Rush,5,Calvin McCarty rush for 5 yards to the Mtl31. Tackled by Chip Cox.,40,3
08:58,2,Pass,31,Jonathan Crompton pass to Shamawd Chambers for 31 yards for a TOUCHDOWN.,40,9
08:47,0,Made Extra Point,0,Hugh O'Neill extra point is good.,40,10
08:47,0,Kickoff OOB,30,Grant Shaw kicks off to the Mtl9. Penalty: Kickoff OOB on Edmonton (Grant Shaw) -36 yards.,40,10
08:47,1,Rush,8,Tyrell Sutton rush for 8 yards to the Mtl53. Tackled by Eddie Steele.,40,10
08:17,2,Rush,5,Tyrell Sutton rush for 5 yards to the Edm52. Tackled by Ted Laurent.,40,10
07:38,1,Rush,0,Tyrell Sutton rush for no gain to the Edm52. Tackled by J.C. Sherritt.,40,10
06:40,2,Incomplete Pass,0,Troy Smith incomplete pass intended for S.J. Green defensed by Marcell Young.,40,10
06:35,3,Unnecessary Roughness,19,Sean Whyte punts for 40 yards to Edm12. Jamal Miles return for 4 yards to Edm16. Tackled by Winston Venable. Penalty: Unnecessary Roughness on Montreal (Nicolas Boulay) 15 yards.,40,10
06:12,1,Rush,23,Calvin McCarty rush for 23 yards to the Edm54. Tackled by Kyries Hebert.,40,10
05:54,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Fred Stamps.,40,10
05:41,0,Roughing Passer,15,Penalty: Roughing Passer on Montreal (Kyries Hebert) 15 yards.,40,10
05:19,1,Pass,35,Jonathan Crompton pass to Nate Coehoorn for 35 yards to the Mtl6. Tackled by Marc-Olivier Brouillette.,40,10
04:30,1,Pass,6,Jonathan Crompton pass to Shamawd Chambers for 6 yards for a TOUCHDOWN.,40,16
04:24,0,Made Extra Point,0,Hugh O'Neill extra point is good.,40,17
04:24,0,Kickoff,18,Grant Shaw kicks off to the Mtl41. S.J. Green return for 18 yards to Edm51. Tackled by Rennie Curran.,40,17
04:19,1,Interception,56,Troy Smith pass INTERCEPTED by Joe Burnett and returned for 56 yards. Tackled by Troy Smith.,40,17
03:53,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Shamawd Chambers.,40,17
03:34,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Calvin McCarty.,40,17
03:00,3,Pass,7,Jonathan Crompton pass to Fred Stamps for 7 yards for a TOUCHDOWN.,40,23
03:00,0,Made Extra Point,0,Hugh O'Neill extra point is good.,40,24
03:00,0,Kickoff,0,Grant Shaw kicks off to the Edm48. Nicolas Boulay - no return. Tackled by Joash Gesse.,40,24
02:57,1,Rush,20,Tyrell Sutton rush for 20 yards to the Edm28. Tackled by T.J. Hill.,40,24
02:47,1,Face Mask,14,Tyrell Sutton rush for 1 yard to the Edm27. Tackled by T.J. Hill. Penalty: Face Mask on Edmonton (Marcus Howard) 13 yards.,40,24
02:23,1,Rush,7,Jerome Messam rush for 7 yards to the Edm7. Tackled by Chris Thompson.,40,24
02:18,2,Rush,5,Tyrell Sutton rush for 5 yards to the Edm2. Tackled by Chris Thompson.,40,24
01:52,1,Sack,-5,Sack at Edm7 for a loss of 5 yards by T.J. Hill.,40,24
01:24,2,Rush,7,Tyrell Sutton rush for 7 yards for a TOUCHDOWN.,46,24
01:24,0,Made Extra Point,0,Sean Whyte extra point is good.,47,24
01:24,0,Kickoff,11,Sean Whyte kicks off to the Edm30. Eddie Steele return for 11 yards to Edm41. Tackled by Bear Woods.,47,24
01:18,1,Rush,7,Jonathan Crompton rush for 7 yards to the Edm48.,47,24
01:04,2,Pass,5,Jonathan Crompton pass to Calvin McCarty for 5 yards to the Edm53. Tackled by Bear Woods.,47,24
00:59,1,Interception,37,Jonathan Crompton pass INTERCEPTED by Chip Cox and returned for 37 yards. Tackled by Calvin McCarty.,47,24
